,location,sep_floor,dataType,data
374,研究大樓,odd-even-division,count_wasted,43.0
375,研究大樓,odd-even-division,waiting_time,2717.827266644916
376,研究大樓,odd-even-division,journey_time,1307.3092875391535
377,研究大樓,odd-even-division,count_floor,601.0
378,研究大樓,odd-even-division,count_stop,62.0
379,研究大樓,odd-even-division,count_wasted,46.0
380,研究大樓,odd-even-division,waiting_time,2586.491879462503
381,研究大樓,odd-even-division,journey_time,1066.9256998802932
382,研究大樓,odd-even-division,count_floor,691.0
383,研究大樓,odd-even-division,count_stop,49.0
384,研究大樓,odd-even-division,count_wasted,53.0
385,研究大樓,odd-even-division,waiting_time,2463.288502484971
386,研究大樓,odd-even-division,journey_time,632.1726563465966
387,研究大樓,odd-even-division,count_floor,853.0
388,研究大樓,odd-even-division,count_stop,88.0
389,研究大樓,odd-even-division,count_wasted,106.0
390,研究大樓,odd-even-division,waiting_time,4860.1265588521865
391,研究大樓,odd-even-division,journey_time,2169.753725391224
392,研究大樓,odd-even-division,count_floor,775.0
393,研究大樓,odd-even-division,count_stop,73.0
394,研究大樓,odd-even-division,count_wasted,91.0
395,研究大樓,odd-even-division,waiting_time,3000.5280005257964
396,研究大樓,odd-even-division,journey_time,1512.971695441012
397,研究大樓,odd-even-division,count_floor,583.0
398,研究大樓,odd-even-division,count_stop,45.0
399,研究大樓,odd-even-division,count_wasted,76.0
400,研究大樓,odd-even-division,waiting_time,3757.66075081494
401,研究大樓,odd-even-division,journey_time,1250.2463667720558
402,研究大樓,odd-even-division,count_floor,546.0
403,研究大樓,odd-even-division,count_stop,62.0
404,研究大樓,odd-even-division,count_wasted,69.0
405,研究大樓,odd-even-division,waiting_time,2647.2483305688274
406,研究大樓,odd-even-division,journey_time,1378.6386169775399
407,研究大樓,odd-even-division,count_floor,552.0
408,研究大樓,odd-even-division,count_stop,22.0
409,研究大樓,odd-even-division,count_wasted,31.0
410,研究大樓,odd-even-division,waiting_time,2370.742896387744
411,研究大樓,odd-even-division,journey_time,1727.996447177751
412,研究大樓,odd-even-division,count_floor,534.0
413,研究大樓,odd-even-division,count_stop,82.0
414,研究大樓,odd-even-division,count_wasted,89.0
415,研究大樓,odd-even-division,waiting_time,3700.075754497047
416,研究大樓,odd-even-division,journey_time,1602.2838622085596
417,研究大樓,odd-even-division,count_floor,439.0
418,研究大樓,odd-even-division,count_stop,28.0
419,研究大樓,odd-even-division,count_wasted,28.0
420,研究大樓,odd-even-division,waiting_time,2390.7959767406337
421,研究大樓,odd-even-division,journey_time,264.45525660648985
422,研究大樓,odd-even-division,count_floor,497.0
423,研究大樓,odd-even-division,count_stop,21.0
424,研究大樓,odd-even-division,count_wasted,20.0
425,研究大樓,odd-even-division,waiting_time,3263.5088890545103
426,研究大樓,odd-even-division,journey_time,1239.8661355749189
427,研究大樓,odd-even-division,count_floor,330.0
428,研究大樓,odd-even-division,count_stop,43.0
429,研究大樓,odd-even-division,count_wasted,33.0
430,研究大樓,odd-even-division,waiting_time,3060.232722932335
431,研究大樓,odd-even-division,journey_time,1019.8551083723096
432,研究大樓,odd-even-division,count_floor,594.0
433,研究大樓,odd-even-division,count_stop,68.0
434,研究大樓,odd-even-division,count_wasted,67.0
435,研究大樓,odd-even-division,waiting_time,3728.500117903495
436,研究大樓,odd-even-division,journey_time,956.1422848710539
437,研究大樓,odd-even-division,count_floor,663.0
438,研究大樓,odd-even-division,count_stop,75.0
439,研究大樓,odd-even-division,count_wasted,80.0
440,研究大樓,odd-even-division,waiting_time,3267.100777508359
441,研究大樓,odd-even-division,journey_time,2183.3588530965294
442,研究大樓,odd-even-division,count_floor,593.0
443,研究大樓,odd-even-division,count_stop,41.0
444,研究大樓,odd-even-division,count_wasted,43.0
445,研究大樓,odd-even-division,waiting_time,4050.11557934465
446,研究大樓,odd-even-division,journey_time,1616.1430654676928
447,研究大樓,odd-even-division,count_floor,464.0
448,研究大樓,odd-even-division,count_stop,59.0
449,研究大樓,odd-even-division,count_wasted,55.0
450,研究大樓,odd-even-division,waiting_time,3911.42625676085
451,研究大樓,odd-even-division,journey_time,2000.1479982360127
452,研究大樓,odd-even-division,count_floor,800.0
453,研究大樓,odd-even-division,count_stop,57.0
454,研究大樓,odd-even-division,count_wasted,77.0
455,研究大樓,odd-even-division,waiting_time,3487.82144210568
456,研究大樓,odd-even-division,journey_time,1839.1928077670275
457,研究大樓,odd-even-division,count_floor,454.0
458,研究大樓,odd-even-division,count_stop,28.0
459,研究大樓,odd-even-division,count_wasted,35.0
460,研究大樓,odd-even-division,waiting_time,3255.7851230923525
461,研究大樓,odd-even-division,journey_time,2074.49399844908
462,研究大樓,odd-even-division,count_floor,655.0
463,研究大樓,odd-even-division,count_stop,62.0
464,研究大樓,odd-even-division,count_wasted,62.0
465,研究大樓,odd-even-division,waiting_time,2706.6008987321925
466,研究大樓,odd-even-division,journey_time,474.48860170741744
467,研究大樓,odd-even-division,count_floor,528.0
468,研究大樓,odd-even-division,count_stop,44.0
469,研究大樓,odd-even-division,count_wasted,43.0
470,研究大樓,odd-even-division,waiting_time,3286.3947255601092
471,研究大樓,odd-even-division,journey_time,1087.7440521668973
472,研究大樓,odd-even-division,count_floor,679.0
473,研究大樓,odd-even-division,count_stop,89.0
474,研究大樓,odd-even-division,count_wasted,88.0
475,研究大樓,odd-even-division,waiting_time,2318.0045889519706
476,研究大樓,odd-even-division,journey_time,1195.7128726849967
477,研究大樓,odd-even-division,count_floor,697.0
478,研究大樓,odd-even-division,count_stop,33.0
479,研究大樓,odd-even-division,count_wasted,53.0
480,研究大樓,odd-even-division,waiting_time,3331.287716347854
481,研究大樓,odd-even-division,journey_time,1600.5677432149826
482,研究大樓,odd-even-division,count_floor,606.0
483,研究大樓,odd-even-division,count_stop,31.0
484,研究大樓,odd-even-division,count_wasted,31.0
485,研究大樓,odd-even-division,waiting_time,2784.391961809602
486,研究大樓,odd-even-division,journey_time,376.5654027311084
487,研究大樓,odd-even-division,count_floor,599.0
488,研究大樓,odd-even-division,count_stop,53.0
489,研究大樓,odd-even-division,count_wasted,59.0
490,研究大樓,odd-even-division,waiting_time,2656.3376978640117
491,研究大樓,odd-even-division,journey_time,1083.4915247541503
492,研究大樓,odd-even-division,count_floor,456.0
493,研究大樓,odd-even-division,count_stop,53.0
494,研究大樓,odd-even-division,count_wasted,47.0
495,研究大樓,odd-even-division,waiting_time,1362.6588416215288
496,研究大樓,odd-even-division,journey_time,1681.4403272738941
497,研究大樓,odd-even-division,count_floor,813.0
498,研究大樓,odd-even-division,count_stop,85.0
499,研究大樓,odd-even-division,count_wasted,82.0
