action,riderNumAfter,floorIndex,direction,time
1,0,0,-1,2234.7453362182246
1,16,0,1,2234.7453362182246
2,0,5,1,2237.4949577715424
1,1,5,-1,2239.2386902520257
1,0,5,1,2239.2386902520257
1,8,12,-1,2249.815782460151
1,1,12,1,2249.815782460151
1,3,8,1,2252.4949577715424
1,3,14,-1,2260.3032152261494
1,0,14,1,2260.3032152261494
1,0,4,-1,2262.5146471872413
1,1,4,1,2262.5146471872413
2,0,5,-1,2267.4949577715424
1,6,10,-1,2270.237316994352
1,0,10,1,2270.237316994352
1,0,1,-1,2270.8635767210844
1,2,1,1,2270.8635767210844
1,1,4,-1,2275.4949577715424
2,0,4,1,2277.4949577715424
2,0,4,-1,2281.4949577715424
2,0,8,1,2285.4949577715424
1,6,18,-1,2295.6931007483167
1,0,18,1,2295.6931007483167
1,0,4,-1,2296.0316843282335
1,1,4,1,2296.0316843282335
1,0,3,-1,2296.1264860396823
1,4,3,1,2296.1264860396823
1,1,8,1,2296.4949577715424
2,0,1,-1,2297.4949577715424
2,0,11,1,2301.4949577715424
1,1,11,1,2301.4949577715424
1,5,11,-1,2314.0487635463915
1,1,11,1,2314.0487635463915
2,0,11,1,2315.4949577715424
2,0,15,1,2321.4949577715424
1,0,3,-1,2322.7556060045235
1,5,3,1,2322.7556060045235
2,0,13,1,2327.4949577715424
2,0,16,1,2328.4949577715424
1,4,9,-1,2340.3027822479885
1,0,9,1,2340.3027822479885
1,2,8,-1,2349.2590202421416
1,1,8,1,2349.2590202421416
2,0,8,-1,2352.2590202421416
2,0,8,1,2363.4949577715424
1,2,4,-1,2372.2590202421416
2,0,11,1,2378.4949577715424
1,1,11,1,2378.4949577715424
1,7,17,-1,2381.056498576189
1,1,17,1,2381.056498576189
1,1,7,-1,2387.4644112304923
1,0,7,1,2387.4644112304923
2,0,4,-1,2389.2590202421416
2,0,11,1,2389.4949577715424
1,5,11,-1,2391.9271935140223
1,1,11,1,2391.9271935140223
1,9,12,-1,2392.274239250287
1,1,12,1,2392.274239250287
1,0,0,-1,2393.2217064472534
1,17,0,1,2393.2217064472534
2,0,3,-1,2396.2590202421416
2,0,11,-1,2397.9271935140223
2,0,12,1,2398.4949577715424
2,0,7,1,2400.4644112304923
1,0,8,-1,2400.7838960458603
1,1,8,1,2400.7838960458603
2,0,7,-1,2401.4644112304923
1,0,4,-1,2404.5929854324304
1,2,4,1,2404.5929854324304
1,2,15,-1,2414.826869581326
1,0,15,1,2414.826869581326
2,0,10,-1,2415.9271935140223
2,0,4,1,2420.4644112304923
2,0,9,-1,2428.9271935140223
1,7,18,-1,2435.65638322862
1,0,18,1,2435.65638322862
1,12,8,-1,2437.9271935140223
1,3,8,1,2439.4644112304923
1,9,12,-1,2490.992604399082
1,1,12,1,2490.992604399082
1,1,9,-1,2496.162826452095
1,0,9,1,2496.162826452095
2,0,9,1,2501.162826452095
2,0,9,-1,2502.162826452095
1,0,0,-1,2504.657387365648
1,18,0,1,2504.657387365648
1,12,8,-1,2504.8272318251757
1,4,8,1,2504.8272318251757
1,13,8,-1,2510.162826452095
1,6,8,-1,2521.6776682831983
1,5,8,1,2521.6776682831983
1,1,5,-1,2527.0784070792465
1,0,5,1,2527.0784070792465
2,0,8,-1,2532.162826452095
2,0,6,-1,2545.162826452095
1,0,11,-1,2563.328775718366
1,2,11,1,2563.328775718366
1,7,4,-1,2564.162826452095
1,0,7,-1,2568.1010620683423
1,1,7,1,2568.1010620683423
1,2,15,-1,2580.2993693845765
1,1,15,1,2580.2993693845765
2,0,7,1,2583.1010620683423
1,6,8,1,2591.1010620683423
2,0,4,-1,2593.162826452095
2,0,8,1,2602.1010620683423
2,0,3,-1,2606.162826452095
2,0,9,1,2610.1010620683423
2,0,10,1,2618.1010620683423
1,6,16,-1,2620.489313907896
1,0,16,1,2620.489313907896
1,3,15,-1,2624.4257166886687
1,1,15,1,2624.4257166886687
1,2,11,1,2627.1010620683423
2,1,11,1,2629.1010620683423
1,8,17,-1,2632.218559330109
1,1,17,1,2632.218559330109
1,1,3,-1,2639.914592359722
1,5,3,1,2639.914592359722
1,4,13,-1,2641.1218332863464
1,0,13,1,2641.1218332863464
2,0,14,1,2644.1010620683423
2,0,11,1,2650.1010620683423
1,8,18,-1,2651.2081022278103
