cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
122,"['5', '3']",1550.2760208928014,3,[3552.95006135831],[3583.95006135831],2002.6740404655086,31.0,2033.6740404655086,0,True
123,"['9', '7']",1571.838249118206,1,[2101.6768336856644],[2113.6768336856644],2016.161750881794,12.0,2028.161750881794,1,False
124,"['12', '7']",1597.0669424718749,2,[1625.242829079607],[1647.242829079607],1980.9330575281251,22.0,2002.9330575281251,1,False
125,"['11', '7']",1605.7174242019796,4,[3173.6513196899314],[3208.6513196899314],1959.2825757980204,35.0,1994.2825757980204,1,False
126,"['4', '6']",1613.3346734726508,6,[1642.3346734726508],[1652.3346734726508],29.0,10.0,39.0,0,True
127,['5'],1627.269144327219,B4,[3554.95006135831],,1927.680917031091,45.049938641690005,1972.730855672781,0,False
128,"['5', '7']",1649.0498639003756,9,[2421.1213194799966],[2443.1213194799966],1928.9501360996244,22.0,1950.9501360996244,1,False
129,"['2', '4']",1660.873049228938,4,[1707.1624164030898],[1717.1624164030898],46.28936717415172,10.0,56.28936717415172,0,True
130,"['12', '13']",1662.6098797065902,13,[1684.6098797065902],[1690.6098797065902],22.0,6.0,28.0,0,True
131,"['3', '1']",1680.1624164030898,B3,[1687.1624164030898],[1697.1624164030898],1909.8375835969102,10.0,1919.8375835969102,1,False
132,"['6', '4']",1680.617377951246,4,[3529.95006135831],[3572.95006135831],1849.332683407064,43.0,1892.332683407064,0,True
133,"['4', '7']",1682.612562655605,12,[1720.1624164030898],[1734.1624164030898],1903.387437344395,14.0,1917.387437344395,1,False
134,"['9', '7']",1692.826452558805,2,[2102.6768336856644],[2113.6768336856644],1896.173547441195,11.0,1907.173547441195,1,False
135,"['B3', 'B4']",1720.1632959045203,B4,[1735.1632959045203],[1741.1632959045203],15.0,6.0,21.0,0,True
136,"['11', '7']",1721.9392864455283,3,[3175.6513196899314],[3208.6513196899314],1845.0607135544717,33.0,1878.0607135544717,1,False
137,"['6', '7']",1730.6376529807208,13,[2436.1213194799966],[2443.1213194799966],1862.3623470192792,7.0,1869.3623470192792,1,False
138,"['8', '7']",1743.2631025088217,B4,[1766.2631025088217],[1774.2631025088217],1848.7368974911783,8.0,1856.7368974911783,1,False
139,"['8', '7']",1756.489004349979,7,[1768.2631025088217],[1774.2631025088217],11.774098158842662,6.0,17.774098158842662,0,True
140,['1'],1774.7703615890869,14,,,1825.2296384109131,,,0,False
141,"['15', '13']",1785.8973693782762,13,[1820.8973693782762],[1830.8973693782762],35.0,10.0,45.0,0,True
142,"['11', '7']",1792.9383018326564,2,[3177.6513196899314],[3208.6513196899314],1776.0616981673436,31.0,1807.0616981673436,1,False
143,"['9', '7']",1796.082810880637,3,[2103.6768336856644],[2113.6768336856644],1793.917189119363,10.0,1803.917189119363,1,False
144,['7'],1845.3239557908605,1,,,1754.6760442091395,,,0,False
145,"['6', '7']",1846.1269082815593,9,[2437.1213194799966],[2443.1213194799966],1747.8730917184407,6.0,1753.8730917184407,1,False
146,"['B3', 'B4']",1854.0967033664044,B4,[1860.0967033664044],[1866.0967033664044],6.0,6.0,12.0,0,True
147,"['5', '7']",1867.7376044669986,9,[2422.1213194799966],[2443.1213194799966],1711.2623955330014,21.0,1732.2623955330014,1,False
148,"['4', '1']",1878.3663860222064,1,[1892.3663860222064],[1906.3663860222064],14.0,14.0,28.0,0,True
149,"['B4', 'B3']",1900.542594587162,B3,[1908.542594587162],[1914.542594587162],8.0,6.0,14.0,0,True
150,"['11', '7']",1912.9679152118863,7,[3178.6513196899314],[3208.6513196899314],1265.683404478045,30.0,1295.683404478045,0,True
151,"['11', '12']",1914.235768966948,12,[1976.001340622075],[1982.001340622075],61.76557165512713,6.0,67.76557165512713,0,True
152,"['12', '7']",1917.001340622075,B1,[1924.001340622075],[1949.001340622075],1657.998659377925,25.0,1682.998659377925,1,False
153,"['8', '7']",1919.4261153021248,3,[1943.001340622075],[1949.001340622075],1674.5738846978752,6.0,1680.5738846978752,1,False
154,['6'],1920.9125974773106,B1,[3530.95006135831],,1610.0374638809994,69.04993864169,1679.0874025226894,0,False
155,"['10', '7']",1922.3965621985976,B3,[2286.294927918994],[2300.294927918994],1663.6034378014024,14.0,1677.6034378014024,1,False
156,"['10', '11']",1931.3029482553004,11,[1967.001340622075],[1973.001340622075],35.69839236677467,6.0,41.69839236677467,0,True
